"","lon","lat","lon.ind","lat.ind","ind","elev","airpr","year","abs","variable","value","absorp","fitcomp"
"214",-105.1875,40.0625,31,25,269,1595,83.5749025795122,"1999",3,"fec",3.50420210713693,"wing absorptivity= 0.5","flight activity time (hr)"
"215",-105.0625,40.0625,32,25,270,1560,83.9352777055168,"1999",3,"fec",3.57917214366719,"wing absorptivity= 0.5","flight activity time (hr)"
"216",-104.9375,40.0625,33,25,271,1559,83.9455925956285,"1999",3,"fec",3.47481664376965,"wing absorptivity= 0.5","flight activity time (hr)"
"217",-108.8125,39.9375,2,24,274,1804,81.4489328599104,"1999",3,"fec",3.57696518272681,"wing absorptivity= 0.5","flight activity time (hr)"
"218",-108.6875,39.9375,3,24,275,1960,79.8908040436043,"1999",3,"fec",4.31381357004558,"wing absorptivity= 0.5","flight activity time (hr)"
"219",-108.5625,39.9375,4,24,276,2235,77.2029140329689,"1999",3,"fec",5.42765439431788,"wing absorptivity= 0.5","flight activity time (hr)"
"220",-108.4375,39.9375,5,24,277,2025,79.2487498974488,"1999",3,"fec",4.71959468708459,"wing absorptivity= 0.5","flight activity time (hr)"
"221",-108.3125,39.9375,6,24,278,1950,79.9899543553996,"1999",3,"fec",4.67684666630477,"wing absorptivity= 0.5","flight activity time (hr)"
"222",-108.1875,39.9375,7,24,279,2049,79.0127426549633,"1999",3,"fec",5.042907163839,"wing absorptivity= 0.5","flight activity time (hr)"
"223",-108.0625,39.9375,8,24,280,2242,77.1354635384557,"1999",3,"fec",5.44366397165296,"wing absorptivity= 0.5","flight activity time (hr)"
"224",-107.9375,39.9375,9,24,281,2091,78.6010995642278,"1999",3,"fec",5.35512454261744,"wing absorptivity= 0.5","flight activity time (hr)"
"227",-107.5625,39.9375,12,24,284,2689,72.9259833468035,"1999",3,"fec",4.99038669076692,"wing absorptivity= 0.5","flight activity time (hr)"
"228",-107.4375,39.9375,13,24,285,2998,70.126353130656,"1999",3,"fec",3.01159891615364,"wing absorptivity= 0.5","flight activity time (hr)"
"230",-106.9375,39.9375,17,24,289,2661,73.1840774566819,"1999",3,"fec",5.13697887493699,"wing absorptivity= 0.5","flight activity time (hr)"
"234",-106.4375,39.9375,21,24,293,2638,73.3966362000304,"1999",3,"fec",4.25180571026137,"wing absorptivity= 0.5","flight activity time (hr)"
"235",-106.3125,39.9375,22,24,294,2676,73.0457209370131,"1999",3,"fec",4.3626425083626,"wing absorptivity= 0.5","flight activity time (hr)"
"236",-106.1875,39.9375,23,24,295,2546,74.2518764229609,"1999",3,"fec",4.14421254398481,"wing absorptivity= 0.5","flight activity time (hr)"
"237",-106.0625,39.9375,24,24,296,2877,71.2120866267986,"1999",3,"fec",3.41181688285545,"wing absorptivity= 0.5","flight activity time (hr)"
"238",-105.9375,39.9375,25,24,297,2948,70.573366237124,"1999",3,"fec",2.29247788835828,"wing absorptivity= 0.5","flight activity time (hr)"
"239",-105.8125,39.9375,26,24,298,2683,72.981227085138,"1999",3,"fec",2.37044577209133,"wing absorptivity= 0.5","flight activity time (hr)"
"241",-105.4375,39.9375,29,24,301,2547,74.2425371549578,"1999",3,"fec",5.43069141523236,"wing absorptivity= 0.5","flight activity time (hr)"
"242",-105.3125,39.9375,30,24,302,2011,79.3866841784205,"1999",3,"fec",5.61097486643558,"wing absorptivity= 0.5","flight activity time (hr)"
"243",-105.1875,39.9375,31,24,303,1707,82.4301119545024,"1999",3,"fec",3.59143880489946,"wing absorptivity= 0.5","flight activity time (hr)"
"244",-105.0625,39.9375,32,24,304,1613,83.3900552657989,"1999",3,"fec",3.75838313133457,"wing absorptivity= 0.5","flight activity time (hr)"
"245",-104.9375,39.9375,33,24,305,1587,83.6571633679338,"1999",3,"fec",3.61978339065404,"wing absorptivity= 0.5","flight activity time (hr)"
"246",-108.8125,39.8125,2,23,308,2018,79.3176927590766,"1999",3,"fec",5.04540864747444,"wing absorptivity= 0.5","flight activity time (hr)"
"247",-108.6875,39.8125,3,23,309,2067,78.8361109760018,"1999",3,"fec",4.95972979266993,"wing absorptivity= 0.5","flight activity time (hr)"
"248",-108.5625,39.8125,4,23,310,2393,75.6920357428067,"1999",3,"fec",5.37927222660121,"wing absorptivity= 0.5","flight activity time (hr)"
"249",-108.4375,39.8125,5,23,311,2238,77.174000832551,"1999",3,"fec",5.28574107428304,"wing absorptivity= 0.5","flight activity time (hr)"
"250",-108.3125,39.8125,6,23,312,2094,78.5717630687303,"1999",3,"fec",5.0707581437581,"wing absorptivity= 0.5","flight activity time (hr)"
"251",-108.1875,39.8125,7,23,313,2093,78.5815409152712,"1999",3,"fec",5.16835812727311,"wing absorptivity= 0.5","flight activity time (hr)"
"252",-108.0625,39.8125,8,23,314,2220,77.3476116362806,"1999",3,"fec",5.32365597546739,"wing absorptivity= 0.5","flight activity time (hr)"
"256",-107.5625,39.8125,12,23,318,2910,70.9146369638113,"1999",3,"fec",4.64377433927426,"wing absorptivity= 0.5","flight activity time (hr)"
"258",-107.3125,39.8125,14,23,320,3191,68.4223327601256,"1999",3,"fec",2.27738296488414,"wing absorptivity= 0.5","flight activity time (hr)"
"260",-107.0625,39.8125,16,23,322,2308,76.5018445200285,"1999",3,"fec",4.71836339022626,"wing absorptivity= 0.5","flight activity time (hr)"
"261",-106.9375,39.8125,17,23,323,2243,77.1258316501072,"1999",3,"fec",4.88169619057804,"wing absorptivity= 0.5","flight activity time (hr)"
"264",-106.5625,39.8125,20,23,326,2680,73.0088616589488,"1999",3,"fec",4.34193321558141,"wing absorptivity= 0.5","flight activity time (hr)"
"265",-106.4375,39.8125,21,23,327,3032,69.8236959292908,"1999",3,"fec",2.98420686173861,"wing absorptivity= 0.5","flight activity time (hr)"
"266",-106.3125,39.8125,22,23,328,3162,68.6762142351117,"1999",3,"fec",2.86491230268234,"wing absorptivity= 0.5","flight activity time (hr)"
